latitude,longitude,altitude,geometry,@id,addr:city,addr:housenumber,addr:province,addr:street,alt_name,amenity,beds,emergency,healthcare,healthcare:speciality,name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,phone,surrey:addrid,surrey:date,type,website,wheelchair,wikidata,wikipedia,@geometry,addr:postcode,full_name,ref,short_name,toilets:wheelchair,old_name,start_date,landuse,check_date,internet_access,internet_access:fee,addr:unit
49.0301701,-122.7923172,,Point,way/476150022,,15521,,Russell Avenue,,hospital,,yes,hospital,,Peace Arch Hospital,24/7,Fraser Health Authority,public,Q5493608,,+1-604-531-5512,,,,https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital,yes,Q7157315,en:Peace Arch Hospital,center,,,,,,,,,2024-01-14,wlan,no,
49.2586223,-122.7994283,,Point,way/739179535,Coquitlam,2745,BC,Lougheed Highway,,hospital,,,hospital,,Redfish Healing Centre for Mental Health and Addiction,,PHSA,government,,,,,,,,yes,,,center,V3C4J2,,,,,,2021-10-12,,,,,
49.2159056,-122.6299881,,Point,way/902053499,,11666,,Laity Street,,hospital,,yes,hospital,,Ridge Meadows Hospital,,Fraser Health Authority,public,Q5493608,en:Fraser Health,+1-604-463-4111,,,,https://www.fraserhealth.ca/Service-Directory/Locations/Maple-Ridge---Pitt-Meadows/ridge-meadows-hospital,,Q121644099,,center,,,,,,,,,,,,
49.0860132,-123.0619072,,Point,way/902491360,,5800,,Mountain View Boulevard,,hospital,64,yes,hospital,,Delta Hospital,,Fraser Health Authority,public,Q5493608,en:Fraser Health,+1-604-946-1121,,,,https://www.fraserhealth.ca/Service-Directory/Locations/Delta/delta-hospital,,Q20712289,,center,,,,,,,,,,,,
49.2455446,-123.123599,,Point,node/5718035521,,4480,,Oak Street,,hospital,,yes,hospital,,British Columbia Children's Emergency,,,,,,,,,,,yes,,,,,,,,,,,,,,,
49.2621467,-123.124844,,Point,node/6946231182,,,,,,hospital,,,hospital,,Emergency,,,,,,,,,,,,,,,,,,,,,,,,,,
49.2641866,-123.245747,,Point,node/8508184533,,2211,,Wesbrook Mall,,hospital,,yes,hospital,,UBC Hospital,,,,,,,,,,https://www.vch.ca/en/location/ubc-hospital,,Q7863802,en:UBC Hospital,,,,,,,,,,,,,
49.2582638,-123.0957019,,Point,node/8766450032,,,,,,hospital,,,hospital,,Emergency,,,,,,,,,,,,,,,,,,,,,,,,,,
49.1755809,-122.8442429,,Point,node/9115152224,,,,,,hospital,,,hospital,,Emergency,,,,,,,,,,,,,,,,,,,,,,,,,,
49.2259374,-122.8920702,,Point,node/9448651084,,,,,,hospital,,yes,hospital,,Emergency,,,,,,,,,,,,,,,,,,,,,,,,,,
49.1853789,-123.1339341,,Point,node/11519069557,Richmond,,British Columbia,Cambie Road,,hospital,,,hospital,general;family_medicine,CRC Health Centre,,,,,,,,,,,,,,,V6X3X9,,,,,,,,,,,1008-8181
